Year,Month,DAY,TEM,DPT,WIS,HUM,SLP,TRAN,ARAN,RAN
1989,9,30,28.1,23.7,5.9,82.93,1006.3,360,12,MHR
1989,10,31,26.4,23.6,5.9,85.94,1009.2,404,13.03,MHR
1989,11,30,23.6,17.4,3.4,74.3,1014.7,14,0.47,NRT
1989,12,31,20.1,14.4,4.2,73.87,1016.4,0,0,NRT
1990,1,31,19.9,15,4.5,76.71,1014.1,0,0,NRT
1990,2,28,23,15.8,6,74.89,1013.6,39,1.39,LTR
1990,3,31,23.9,18.4,6.6,74.77,1012.7,53,1.71,LTR
1990,4,30,26.7,21.1,10.3,77.47,1008.2,250,8.33,LTR
1990,5,31,28.8,24.2,6.6,78.48,1004.8,205,6.61,LTR
1990,6,30,28.3,24,7.9,83.3,1001.3,668,22.27,MHR
1990,7,31,27.2,24.8,7.3,87.71,1001.9,1038,33.48,MHR
1990,8,31,28.5,24.7,6.2,81.71,1004.7,115,3.71,LTR
1990,9,30,28.4,23.9,5.5,82.13,1006.5,141,4.7,LTR
1990,10,31,27.2,23.1,5.5,80.71,1010.2,233,7.52,LTR
1990,11,30,25.6,20.9,4.1,80.97,1012.1,74,2.47,LTR
1990,12,31,21.1,16.4,3.8,78.19,1015.5,36,1.16,LTR
1991,1,31,19.2,14.1,3.3,76.16,1014.9,19,0.61,NRT
1991,2,28,22.7,15.2,4.2,74.11,1014,0,0,NRT
1991,3,31,27,21.2,6.1,74.06,1010.4,43,1.39,LTR
1991,4,30,28.1,18.1,10.3,77.77,1007.7,0,0,NRT
1991,5,31,29,24.4,7.6,78.05,1007.3,371,11.97,MHR
1991,6,30,28,24,7.1,84.67,1003.6,774,25.8,MHR
1991,7,31,28.3,25.1,8.7,84.45,1002,818,26.39,MHR
1991,8,31,28.4,25.1,8.3,84.19,1003,357,11.52,MHR
1991,9,30,28.1,24.3,5.9,84.8,1007.7,360,12,MHR
1991,10,31,27.5,24.1,5.2,83.26,1009.3,211,6.81,LTR
1991,11,30,23.3,18.2,2.7,78.87,1014.5,99,3.3,LTR
1991,12,31,20.2,15.1,3,75.81,1015.4,13,0.42,NRT
1992,1,31,18.8,14.1,3.9,77.19,1016.7,0,0,NRT
1992,2,29,21.2,15.2,4.7,76.52,1013.5,119,4.1,LTR
1992,3,31,26.1,22.5,8.1,82.45,1011,0,0,NRT
1992,4,30,29,23.3,9.3,77.43,1008.7,1,0.03,NRT
1992,5,31,28.6,24,8.2,78.16,1006.3,127,4.1,LTR
1992,6,30,28.9,24.5,7.1,83.03,1002.3,571,19.03,MHR
1992,7,31,28,25.1,7.1,85.39,1003.2,412,13.29,MHR
1992,8,31,28.5,25.2,8,83.45,1003.9,280,9.03,LTR
1992,9,30,28.2,24.5,6.3,85.73,1006.1,292,9.73,LTR
1992,10,31,27.4,24,3.8,83.39,1009.4,435,14.03,MHR
1992,11,30,24.8,19.5,3.1,78,1013.8,4,0.13,NRT
1992,12,31,19.9,15.3,3.4,78,1016.3,34,1.1,LTR
1993,1,31,19.5,14.1,3.5,75.19,1015.1,9,0.29,NRT
1993,2,28,22.2,15,7.3,74.89,1013.8,71,2.54,LTR
1993,3,31,24.4,18.4,6.3,73.87,1011.9,223,7.19,LTR
1993,4,30,27.3,22,6.1,78.77,1009.6,100,3.33,LTR
1993,5,31,27.7,23.9,8.1,81.19,1006,667,21.52,MHR
1993,6,30,27.9,24.2,10.3,85.47,1003,791,26.37,MHR
1993,7,31,28.3,25.1,9.2,84.23,1002.3,437,14.1,MHR
1993,8,31,27.8,24.9,8.6,85.71,1003.3,638,20.58,MHR
1993,9,30,27.8,23.9,7,84.37,1006.6,273,9.1,LTR
1993,10,31,27.7,23.9,5.1,81.58,1011.2,129,4.16,LTR
1993,11,30,24.2,18.8,4,77.73,1012.7,14,0.47,NRT
1993,12,31,21.1,15.6,4.4,74.71,1014.7,0,0,NRT
